dataset_name,model_name,BM_batch_size_ratio,hidden_dim,num_layers,epochs,learning_rate,synthetic_num_samples,dgan_original_data_ratio,finetuning_original_data_ratio
ArticularyWordRecognition,inceptionTime,0.1,,,10,0.001,2,0.7,0.7
ArticularyWordRecognition,inceptionTime,0.1,,,10,0.001,2,0.7,0.9
ArticularyWordRecognition,inceptionTime,0.1,,,10,0.001,2,0.9,0.9
ArticularyWordRecognition,inceptionTime,0.1,,,10,0.001,4,0.7,0.7
ArticularyWordRecognition,inceptionTime,0.1,,,10,0.001,4,0.7,0.9
ArticularyWordRecognition,inceptionTime,0.1,,,10,0.001,4,0.9,0.9
ArticularyWordRecognition,inceptionTime,0.1,,,10,0.0001,2,0.7,0.7
ArticularyWordRecognition,inceptionTime,0.1,,,10,0.0001,2,0.7,0.9
ArticularyWordRecognition,inceptionTime,0.1,,,10,0.0001,2,0.9,0.9
ArticularyWordRecognition,inceptionTime,0.1,,,10,0.0001,4,0.7,0.7
ArticularyWordRecognition,inceptionTime,0.1,,,10,0.0001,4,0.7,0.9
ArticularyWordRecognition,inceptionTime,0.1,,,10,0.0001,4,0.9,0.9
ArticularyWordRecognition,inceptionTime,0.1,,,20,0.001,2,0.7,0.7
ArticularyWordRecognition,inceptionTime,0.1,,,20,0.001,2,0.7,0.9
ArticularyWordRecognition,inceptionTime,0.1,,,20,0.001,2,0.9,0.9
ArticularyWordRecognition,inceptionTime,0.1,,,20,0.001,4,0.7,0.7
ArticularyWordRecognition,inceptionTime,0.1,,,20,0.001,4,0.7,0.9
ArticularyWordRecognition,inceptionTime,0.1,,,20,0.001,4,0.9,0.9
ArticularyWordRecognition,inceptionTime,0.1,,,20,0.0001,2,0.7,0.7
ArticularyWordRecognition,inceptionTime,0.1,,,20,0.0001,2,0.7,0.9
ArticularyWordRecognition,inceptionTime,0.1,,,20,0.0001,2,0.9,0.9
ArticularyWordRecognition,inceptionTime,0.1,,,20,0.0001,4,0.7,0.7
ArticularyWordRecognition,inceptionTime,0.1,,,20,0.0001,4,0.7,0.9
ArticularyWordRecognition,inceptionTime,0.1,,,20,0.0001,4,0.9,0.9
ArticularyWordRecognition,inceptionTime,0.2,,,10,0.001,2,0.7,0.7
ArticularyWordRecognition,inceptionTime,0.2,,,10,0.001,2,0.7,0.9
ArticularyWordRecognition,inceptionTime,0.2,,,10,0.001,2,0.9,0.9
ArticularyWordRecognition,inceptionTime,0.2,,,10,0.001,4,0.7,0.7
ArticularyWordRecognition,inceptionTime,0.2,,,10,0.001,4,0.7,0.9
ArticularyWordRecognition,inceptionTime,0.2,,,10,0.001,4,0.9,0.9
ArticularyWordRecognition,inceptionTime,0.2,,,10,0.0001,2,0.7,0.7
ArticularyWordRecognition,inceptionTime,0.2,,,10,0.0001,2,0.7,0.9
ArticularyWordRecognition,inceptionTime,0.2,,,10,0.0001,2,0.9,0.9
ArticularyWordRecognition,inceptionTime,0.2,,,10,0.0001,4,0.7,0.7
ArticularyWordRecognition,inceptionTime,0.2,,,10,0.0001,4,0.7,0.9
ArticularyWordRecognition,inceptionTime,0.2,,,10,0.0001,4,0.9,0.9
ArticularyWordRecognition,inceptionTime,0.2,,,20,0.001,2,0.7,0.7
ArticularyWordRecognition,inceptionTime,0.2,,,20,0.001,2,0.7,0.9
ArticularyWordRecognition,inceptionTime,0.2,,,20,0.001,2,0.9,0.9
ArticularyWordRecognition,inceptionTime,0.2,,,20,0.001,4,0.7,0.7
ArticularyWordRecognition,inceptionTime,0.2,,,20,0.001,4,0.7,0.9
ArticularyWordRecognition,inceptionTime,0.2,,,20,0.001,4,0.9,0.9
ArticularyWordRecognition,inceptionTime,0.2,,,20,0.0001,2,0.7,0.7
ArticularyWordRecognition,inceptionTime,0.2,,,20,0.0001,2,0.7,0.9
ArticularyWordRecognition,inceptionTime,0.2,,,20,0.0001,2,0.9,0.9
ArticularyWordRecognition,inceptionTime,0.2,,,20,0.0001,4,0.7,0.7
ArticularyWordRecognition,inceptionTime,0.2,,,20,0.0001,4,0.7,0.9
ArticularyWordRecognition,inceptionTime,0.2,,,20,0.0001,4,0.9,0.9
AtrialFibrillation,inceptionTime,0.1,,,10,0.001,2,0.7,0.7
AtrialFibrillation,inceptionTime,0.1,,,10,0.001,2,0.7,0.9
AtrialFibrillation,inceptionTime,0.1,,,10,0.001,2,0.9,0.9
AtrialFibrillation,inceptionTime,0.1,,,10,0.001,4,0.7,0.7
AtrialFibrillation,inceptionTime,0.1,,,10,0.001,4,0.7,0.9
AtrialFibrillation,inceptionTime,0.1,,,10,0.001,4,0.9,0.9
AtrialFibrillation,inceptionTime,0.1,,,10,0.0001,2,0.7,0.7
AtrialFibrillation,inceptionTime,0.1,,,10,0.0001,2,0.7,0.9
AtrialFibrillation,inceptionTime,0.1,,,10,0.0001,2,0.9,0.9
AtrialFibrillation,inceptionTime,0.1,,,10,0.0001,4,0.7,0.7
AtrialFibrillation,inceptionTime,0.1,,,10,0.0001,4,0.7,0.9
AtrialFibrillation,inceptionTime,0.1,,,10,0.0001,4,0.9,0.9
AtrialFibrillation,inceptionTime,0.1,,,20,0.001,2,0.7,0.7
AtrialFibrillation,inceptionTime,0.1,,,20,0.001,2,0.7,0.9
AtrialFibrillation,inceptionTime,0.1,,,20,0.001,2,0.9,0.9
AtrialFibrillation,inceptionTime,0.1,,,20,0.001,4,0.7,0.7
AtrialFibrillation,inceptionTime,0.1,,,20,0.001,4,0.7,0.9
AtrialFibrillation,inceptionTime,0.1,,,20,0.001,4,0.9,0.9
AtrialFibrillation,inceptionTime,0.1,,,20,0.0001,2,0.7,0.7
AtrialFibrillation,inceptionTime,0.1,,,20,0.0001,2,0.7,0.9
AtrialFibrillation,inceptionTime,0.1,,,20,0.0001,2,0.9,0.9
AtrialFibrillation,inceptionTime,0.1,,,20,0.0001,4,0.7,0.7
AtrialFibrillation,inceptionTime,0.1,,,20,0.0001,4,0.7,0.9
AtrialFibrillation,inceptionTime,0.1,,,20,0.0001,4,0.9,0.9
AtrialFibrillation,inceptionTime,0.2,,,10,0.001,2,0.7,0.7
AtrialFibrillation,inceptionTime,0.2,,,10,0.001,2,0.7,0.9
AtrialFibrillation,inceptionTime,0.2,,,10,0.001,2,0.9,0.9
AtrialFibrillation,inceptionTime,0.2,,,10,0.001,4,0.7,0.7
AtrialFibrillation,inceptionTime,0.2,,,10,0.001,4,0.7,0.9
AtrialFibrillation,inceptionTime,0.2,,,10,0.001,4,0.9,0.9
AtrialFibrillation,inceptionTime,0.2,,,10,0.0001,2,0.7,0.7
AtrialFibrillation,inceptionTime,0.2,,,10,0.0001,2,0.7,0.9
AtrialFibrillation,inceptionTime,0.2,,,10,0.0001,2,0.9,0.9
AtrialFibrillation,inceptionTime,0.2,,,10,0.0001,4,0.7,0.7
AtrialFibrillation,inceptionTime,0.2,,,10,0.0001,4,0.7,0.9
AtrialFibrillation,inceptionTime,0.2,,,10,0.0001,4,0.9,0.9
AtrialFibrillation,inceptionTime,0.2,,,20,0.001,2,0.7,0.7
AtrialFibrillation,inceptionTime,0.2,,,20,0.001,2,0.7,0.9
AtrialFibrillation,inceptionTime,0.2,,,20,0.001,2,0.9,0.9
AtrialFibrillation,inceptionTime,0.2,,,20,0.001,4,0.7,0.7
AtrialFibrillation,inceptionTime,0.2,,,20,0.001,4,0.7,0.9
AtrialFibrillation,inceptionTime,0.2,,,20,0.001,4,0.9,0.9
AtrialFibrillation,inceptionTime,0.2,,,20,0.0001,2,0.7,0.7
AtrialFibrillation,inceptionTime,0.2,,,20,0.0001,2,0.7,0.9
AtrialFibrillation,inceptionTime,0.2,,,20,0.0001,2,0.9,0.9
AtrialFibrillation,inceptionTime,0.2,,,20,0.0001,4,0.7,0.7
AtrialFibrillation,inceptionTime,0.2,,,20,0.0001,4,0.7,0.9
AtrialFibrillation,inceptionTime,0.2,,,20,0.0001,4,0.9,0.9
